0	0
1	0
2	27444
3	41751
4	94159
5	1000
6	258
7	113286
8	70344
9	3723
10	2251
11	56
12	11136
13	152360
14	68833
15	106531
16	2810
17	401
18	10076
19	20032
20	9608
21	35794
22	2070
23	519
24	3106
25	60
26	25480
27	111
28	30179
29	34948
30	16991
31	22985
32	14351
33	24707
34	4954
35	2691
36	204
37	2455
38	156
39	8435
40	45440
41	56458
42	5588
43	1565
44	1550
45	8317
46	8110
47	0
48	16531
49	22885
50	347
51	634
52	149
53	58
54	497
55	360398
56	1582
57	108711
58	2831
59	3043
60	10736
61	56
62	109666
63	45870
64	32245
65	228
66	2397
67	388
68	561
69	167756
70	65
71	2372
72	8437
73	446
74	190
75	0
